state_zip,FacID,FacID,Facility.Latitude,Facility.Longitude,state_facility,deaths_coef_2,deaths_coef_1,deaths_coef_3
Alabama,1073,1073,41.9439,-91.6386,Iowa,2.7656855653118164,2.5086402018010863,3.0227310312738926
Alabama,1077,1077,42.0472,-92.8627,Iowa,3.895080750817628,3.533067641219877,4.2570941517313345
Alabama,1081,1081,41.5404,-90.4483,Iowa,2.02888421001462,1.8403177480974813,2.217450766539931
Alabama,1082,1082,41.18,-95.8408,Iowa,13.042091946192127,11.82993909113495,14.254247091532505
Alabama,1091,1091,42.2996,-96.3634,Iowa,12.387120004910091,11.235844632190497,13.538396867597635
Alabama,1104,1104,40.7412,-91.1168,Iowa,5.08539119981146,4.6127487132834615,5.5580341913359295
Alabama,1122,1122,42.0247,-93.6069,Iowa,0.725352270910292,0.6579374579586961,0.7927670912422996
Alabama,1131,1131,42.5267,-92.4394,Iowa,0.51204892609418,0.4644586762481209,0.559639184880919
Alabama,1167,1167,41.3917,-91.0569,Iowa,2.621674197272674,2.3780133101949317,2.865335196373351
Alabama,1175,1175,41.3981,-92.9144,Iowa,0.2887036795402143,0.261871339888383,0.3155360204155993
Alabama,1217,1217,43.1606,-95.2569,Iowa,0.3618916674029021,0.328257161613273,0.3955261785952912
Alabama,1218,1218,41.4569,-90.8233,Iowa,3.6377356183564657,3.299640117773558,3.975831459038002
Alabama,1239,1239,37.0719,-94.6986,Kansas,3.201731293126234,2.90415917889305,3.4993035790796196
Alabama,1241,1241,38.3472,-94.6389,Kansas,19.913079523205305,18.06231515858477,21.76384962882063
Alabama,1250,1250,39.0072,-95.2692,Kansas,2.7001989716347494,2.4492401492410574,2.9511578619205614
Alabama,1252,1252,39.0522,-95.5669,Kansas,3.8020552957846507,3.44868870228282,4.15542204504854
Alabama,1295,1295,39.1486,-94.6405,Kansas,3.3775252114019287,3.063614842936017,3.6914357182591035
Alabama,1353,1353,38.1707,-82.6176,Kentucky,40.88797167614913,37.08767616347996,44.68829529792669
Alabama,1355,1355,37.7889,-84.7139,Kentucky,68.29658487221153,61.94871713273137,74.64452077260184
Alabama,1356,1356,38.7497,-85.035,Kentucky,54.017586302470406,48.997020678194794,59.038178807924616
Alabama,1357,1357,37.3636,-87.1214,Kentucky,47.72989476627834,43.29370338377965,52.16611476458441
Alabama,1360,1360,36.7967,-83.7614,Kentucky,0.500838275503195,0.454289837837083,0.547386745470068
Alabama,1361,1361,38.0478,-84.8483,Kentucky,3.502181206424765,3.1766835461369305,3.8276793476162645
Alabama,1363,1363,38.1828,-85.8894,Kentucky,24.530771233636646,22.25083390735597,26.810714562413725
Alabama,1364,1364,38.0531,-85.91,Kentucky,55.00772642749843,49.89516352093328,60.120310666789074
Alabama,1372,1372,37.8453,-87.5912,Kentucky,0.842537986978984,0.7642316552269361,0.920844365375391
Alabama,1374,1374,37.7958,-87.0597,Kentucky,14.060815590298311,12.75398100167617,15.36765263398124
Alabama,1378,1378,37.2608,-86.9783,Kentucky,187.27599470375878,169.86670508718697,204.68604696144556
Alabama,1379,1379,37.1517,-88.775,Kentucky,71.64848580616678,64.98937118211155,78.30761094716179
Alabama,1381,1381,37.9628,-86.7917,Kentucky,55.378045768819455,50.23095762102897,60.52517727774253
Alabama,1382,1382,37.6472,-87.5028,Kentucky,11.039254942491816,10.013251627658653,12.06525964865474
Alabama,1383,1383,37.6467,-87.5033,Kentucky,13.038083756000807,11.826286169901534,14.249887168577342
Alabama,1384,1384,37.0,-84.5917,Kentucky,37.86067189011792,34.341758830072294,41.37960835180008
Alabama,1385,1385,37.8807,-84.2634,Kentucky,10.30406058103366,9.346387021368011,11.261735481405454
Alabama,1393,1393,30.2861,-93.2917,Louisiana,32.775767159477645,29.72947510235537,35.82207725014846
Alabama,1552,1552,39.3269,-76.365,Maryland,7.5486915223066005,6.847106163957317,8.250277778404154
Alabama,1554,1554,39.1781,-76.5268,Maryland,6.089815761693191,5.523821218025095,6.655810829802656
Alabama,1570,1570,39.595,-77.8269,Maryland,1.0568397923161967,0.9586161934012416,1.155063417123979
Alabama,1571,1571,38.5444,-76.6861,Maryland,14.330055713021839,12.998193097521924,15.661921736625235
Alabama,1572,1572,39.2086,-77.4644,Maryland,9.377600531778892,8.506034772998444,10.249167238176167
Alabama,1573,1573,38.3592,-76.9767,Maryland,25.960040510831515,23.547241541639064,28.372850462086237
Alabama,1606,1606,42.2814,-72.6053,Massachusetts,0.6213449208475353,0.5635965770231177,0.6790932824878934
Alabama,1613,1613,41.737,-71.146,Massachusetts,0.35462279913455014,0.32166386831695754,0.38758173515010425
Alabama,1619,1619,41.7125,-71.1914,Massachusetts,3.968696807911486,3.599842103690293,4.337551734543031
