FacID,uID,year_scrubbed,year_shut,Facility.Latitude,Facility.Longitude,State
3136,2,2,0,2,2,2
3138,3,0,3,3,3,3
3140,3,3,0,3,3,3
3145,1,0,1,1,1,1
3148,2,0,2,2,2,2
3149,2,2,0,2,2,2
3152,6,0,6,6,6,6
3159,1,1,1,1,1,1
3161,2,2,2,2,2,2
3176,1,0,1,1,1,1
3178,2,0,2,2,2,2
3179,3,3,3,3,3,3
3181,1,0,1,1,1,1
3251,1,0,1,1,1,1
3264,3,0,3,3,3,3
3280,3,0,3,3,3,3
3287,2,0,2,2,2,2
3295,3,0,3,3,3,3
3297,2,2,0,2,2,2
3298,1,1,0,1,1,1
3317,2,0,2,2,2,2
3319,2,0,2,2,2,2
3393,3,0,3,3,3,3
3396,1,1,0,1,1,1
3399,2,2,0,2,2,2
3403,4,4,0,4,4,4
3405,4,0,4,4,4,4
3406,10,0,10,10,10,10
3407,9,9,0,9,9,9
3470,4,1,0,4,4,4
3497,2,0,2,2,2,2
3644,2,0,2,2,2,2
3775,3,0,3,3,3,3
3776,3,0,3,3,3,3
3788,5,5,5,5,5,5
3796,2,0,2,2,2,2
3797,4,4,2,4,4,4
3803,4,0,4,4,4,4
3804,2,0,2,2,2,2
3809,2,0,2,2,2,2
3845,2,2,0,2,2,2
3935,3,3,0,3,3,3
3936,2,0,2,2,2,2
3938,5,0,5,5,5,5
3942,3,0,3,3,3,3
3943,2,2,0,2,2,2
3944,3,0,0,3,3,3
3945,2,0,2,2,2,2
3946,2,0,2,2,2,2
3947,3,0,3,3,3,3
