,state_zip,year,deaths_coef_2_all,deaths_coef_1,deaths_coef_3
627,New Jersey,2010,526.529966521745,479.6401798053313,573.4199166941602
628,New Jersey,2011,508.17803207237495,462.92254392758156,553.4336821050202
629,New Jersey,2012,303.17424362890296,276.1753406162167,330.1732243749264
630,New Jersey,2013,259.182394058017,236.10116166822118,282.2636895816889
631,New Jersey,2014,212.41491220476772,193.49855917768645,231.33130770386646
632,New Jersey,2015,154.28266638935233,140.54318977887397,168.02217783858683
633,New Jersey,2016,104.05617040637638,94.78963836391415,113.3227106774118
634,New Jersey,2017,86.53073345345359,78.82489937881732,94.23657393737298
635,New Jersey,2018,82.6622839089161,75.30094324665023,90.0236315134673
636,New Jersey,2019,65.4157296253368,59.59025510702334,71.24120859227567
637,New Jersey,2020,55.9445505591317,50.9625123328268,60.926592924394754
638,New Mexico,1999,24.95858357142837,22.735735413890406,27.18147421875566
639,New Mexico,2000,21.138117205204573,19.2555131518641,23.020759637400786
640,New Mexico,2001,22.1267906641472,20.15617915941249,24.097433375353926
641,New Mexico,2002,21.946940993429266,19.992373049824312,23.901534773266707
642,New Mexico,2003,27.43150028182395,24.98850011312543,29.874529620027587
643,New Mexico,2004,19.796674475960693,18.033657584788347,21.559704711151962
644,New Mexico,2005,16.186327001472744,14.744840638389913,17.627822974955553
645,New Mexico,2006,16.150411069799922,14.712121954005164,17.58871002386638
646,New Mexico,2007,16.146816642490183,14.708851240641662,17.584791174561385
647,New Mexico,2008,11.701312655631988,10.659252395918108,12.743377996079142
648,New Mexico,2009,12.25847424327963,11.166798480758315,13.350154836689168
649,New Mexico,2010,10.743720595714088,9.78693664504314,11.700509610637994
650,New Mexico,2011,7.950223133968132,7.2422183087839,8.658230980637304
651,New Mexico,2012,8.299190010091428,7.560106723721746,9.038276708153482
652,New Mexico,2013,8.167239594882783,7.4399083663314105,8.894573940162111
653,New Mexico,2014,7.647572247902954,6.9665210141714065,8.328626172179371
654,New Mexico,2015,7.731381322795238,7.042860268586571,8.419906317293915
655,New Mexico,2016,5.758728744123774,5.2458897927763735,6.271569302572385
656,New Mexico,2017,6.541107441948851,5.9585945154985,7.123622168440867
657,New Mexico,2018,5.611759890001137,5.112011403872986,6.1115094978644295
658,New Mexico,2019,3.251117286825196,2.9615934775244948,3.5406416469557462
659,New Mexico,2020,2.6731399473074258,2.4350878064269397,2.9111924069760944
660,New York,1999,3823.0211263861634,3482.5521701923512,4163.493669572975
661,New York,2000,3404.109274026717,3100.948670641402,3707.272859633412
662,New York,2001,3657.6659764003034,3331.9210038370306,3983.4148000818745
663,New York,2002,3320.325213193424,3024.625263972229,3616.0282518781164
664,New York,2003,3266.7888714322316,2975.8560100389914,3557.7249145302
665,New York,2004,3228.145057853647,2940.6530019366337,3515.640399715238
666,New York,2005,2779.1096952916478,2531.6085132192516,3026.613570440735
667,New York,2006,2710.7530494834555,2469.3403788186156,2952.1681857783437
668,New York,2007,2731.347612376869,2488.0989027276905,2974.599185880241
669,New York,2008,2377.21786903663,2165.508684623843,2588.929273633763
670,New York,2009,1441.7579260206192,1313.3611943838573,1570.155478532082
671,New York,2010,1000.5017152466859,911.4024999218221,1089.6012763895333
672,New York,2011,1082.3287667365328,985.9421875480588,1178.7157774719137
673,New York,2012,606.6648901254483,552.6388550706473,660.6910909081897
674,New York,2013,554.1874434312288,504.83474917132816,603.5402879868368
675,New York,2014,456.593748663693,415.93221317416146,497.2554011796691
676,New York,2015,337.1067302012513,307.0859815484812,367.1275690626943
677,New York,2016,216.47891027776663,197.20076818164236,235.7570711472455
678,New York,2017,176.19181726491132,160.50137583375482,191.88227286765184
679,New York,2018,178.79823837232075,162.87567252324195,194.72082140495115
680,New York,2019,134.68200229479703,122.68814582730057,146.67586881632826
681,New York,2020,119.94535847718717,109.26384338281022,130.62688314519008
682,North Carolina,1999,2351.0478892708065,2141.658982165105,2560.441018180766
683,North Carolina,2000,2499.4618044854296,2276.8529199436903,2722.0755578811313
684,North Carolina,2001,2533.8725028849854,2308.192718231686,2759.5584346779337
685,North Carolina,2002,2182.666430585882,1988.2702455773785,2377.0672510995096
686,North Carolina,2003,1724.4919150456112,1570.9082871112594,1878.0780561264198
687,North Carolina,2004,1806.790020635026,1645.8739839918214,1967.709261958868
688,North Carolina,2005,2048.524644340936,1866.077048489626,2230.9763097472432
689,North Carolina,2006,2386.4547299348314,2173.904923198423,2599.01028907851
690,North Carolina,2007,2346.1384608102894,2137.179991342822,2555.1024754254818
691,North Carolina,2008,1707.6851930266198,1555.6004758245567,1859.7719878259259
692,North Carolina,2009,973.2536310214887,886.5792705264412,1059.928662413509
693,North Carolina,2010,1054.894813684431,960.9498750925379,1148.8404632201014
694,North Carolina,2011,937.2822936196652,853.8118671888973,1020.7532761702188
695,North Carolina,2012,433.3594534649764,394.76695796597147,471.95207347642173
696,North Carolina,2013,345.459013113638,314.6945410407025,376.22356161099344
