state_zip,FacID,FacID,Facility.Latitude,Facility.Longitude,state_facility,deaths_coef_2
Alabama,891,891,40.2797,-90.0775,Illinois,8.174890455733498
Alabama,892,892,41.3017,-89.3136,Illinois,6.597597298608756
Alabama,897,897,40.1781,-87.7481,Illinois,9.247511688309318
Alabama,898,898,38.8639,-90.1325,Illinois,12.865221746205805
Alabama,963,963,39.7539,-89.6011,Illinois,9.825622826096847
Alabama,964,964,39.7539,-89.6011,Illinois,6.489980942705925
Alabama,976,976,37.6206,-88.955,Illinois,17.613167763014186
Alabama,981,981,41.7072,-87.5217,Indiana,6.82972761038301
Alabama,983,983,38.7383,-85.4192,Indiana,84.48178227374254
Alabama,988,988,39.0831,-84.8581,Indiana,61.35048043543433
Alabama,990,990,39.7119,-86.1975,Indiana,50.17712681849674
Alabama,991,991,39.4851,-86.4176,Indiana,21.090090304327198
Alabama,994,994,38.5267,-87.2525,Indiana,69.61871144940554
Alabama,995,995,41.6433,-87.1225,Indiana,3.94015395531809
Alabama,996,996,41.6394,-87.4069,Indiana,1.4216594066224983
Alabama,997,997,41.7203,-86.9097,Indiana,10.69335854746465
Alabama,1001,1001,39.9239,-87.4272,Indiana,63.948425745812884
Alabama,1004,1004,38.8067,-87.2472,Indiana,10.50254353297133
Alabama,1007,1007,40.0969,-85.9714,Indiana,2.371812350793847
Alabama,1008,1008,38.2636,-85.8381,Indiana,83.55848078219917
Alabama,1010,1010,39.53,-87.4247,Indiana,78.92163862620178
Alabama,1012,1012,37.91,-87.3267,Indiana,12.84522901523359
Alabama,1040,1040,39.8028,-84.8953,Indiana,11.624766940076114
Alabama,1043,1043,38.5201,-87.2662,Indiana,36.396351794080374
Alabama,1046,1046,42.506,-90.6527,Iowa,1.342885033625179
Alabama,1047,1047,43.3359,-91.1672,Iowa,4.122501281516087
Alabama,1048,1048,41.8081,-90.2345,Iowa,3.2847858760043884
Alabama,1058,1058,41.9839,-91.6686,Iowa,0.8294627894161926
Alabama,1073,1073,41.9439,-91.6386,Iowa,2.927803084954211
Alabama,1077,1077,42.0472,-92.8627,Iowa,4.037951067754568
Alabama,1081,1081,41.5404,-90.4483,Iowa,2.126751435128052
Alabama,1082,1082,41.18,-95.8408,Iowa,13.376909072287733
Alabama,1091,1091,42.2996,-96.3634,Iowa,12.46052153415165
Alabama,1104,1104,40.7412,-91.1168,Iowa,5.444798746764791
Alabama,1122,1122,42.0247,-93.6069,Iowa,0.7745584111040245
Alabama,1131,1131,42.5267,-92.4394,Iowa,0.5405490998807624
Alabama,1167,1167,41.3917,-91.0569,Iowa,2.7771542527118274
Alabama,1175,1175,41.3981,-92.9144,Iowa,0.3034859265820859
Alabama,1217,1217,43.1606,-95.2569,Iowa,0.3732789810636547
Alabama,1218,1218,41.4569,-90.8233,Iowa,3.864519005628182
Alabama,1239,1239,37.0719,-94.6986,Kansas,3.0365029530133554
Alabama,1241,1241,38.3472,-94.6389,Kansas,19.207058266860525
Alabama,1250,1250,39.0072,-95.2692,Kansas,2.7182618094162714
Alabama,1252,1252,39.0522,-95.5669,Kansas,3.8106686913200782
Alabama,1295,1295,39.1486,-94.6405,Kansas,3.4051222257965614
Alabama,1353,1353,38.1707,-82.6176,Kentucky,58.19889534073267
Alabama,1355,1355,37.7889,-84.7139,Kentucky,87.16184576788868
Alabama,1356,1356,38.7497,-85.035,Kentucky,65.94143036460422
Alabama,1357,1357,37.3636,-87.1214,Kentucky,50.05571957642151
Alabama,1360,1360,36.7967,-83.7614,Kentucky,0.755373330297646
Alabama,1361,1361,38.0478,-84.8483,Kentucky,4.254243489529758
Alabama,1363,1363,38.1828,-85.8894,Kentucky,29.407191866051285
Alabama,1364,1364,38.0531,-85.91,Kentucky,68.28660119019663
